T_sec,Sa_X_ft_s2,Sa_Y_ft_s2,Sa_SRSS_ft_s2,Sd_X_ft,Sd_Y_ft,Sd_SRSS_ft
3.849999999999999645e+00,1.674200351421764266e+00,2.265152636164845301e+00,2.816711430343070699e+00,6.285924364458328473e-01,8.504703832366256044e-01,1.057557716590239449e+00
3.899999999999999467e+00,1.623281530388489990e+00,2.209986304469641727e+00,2.742094526606218441e+00,6.254078449811968365e-01,8.514498232389411392e-01,1.056457180418425068e+00
3.949999999999999289e+00,1.573567273442579850e+00,2.156054604664106922e+00,2.669210636563329242e+00,6.218988721872672487e-01,8.521071514669503744e-01,1.054914595978705405e+00
3.999999999999999556e+00,1.524908193079454577e+00,2.103379121175713351e+00,2.597989361933332297e+00,6.180220122748354417e-01,8.524674488244138315e-01,1.052925428965148180e+00
4.049999999999999822e+00,1.477378825947500030e+00,2.051866953289225304e+00,2.528399926704322009e+00,6.138216185729081786e-01,8.525100483665729589e-01,1.050500053304825432e+00
4.099999999999999645e+00,1.431097278051202348e+00,2.001256670650056968e+00,2.460298291075070143e+00,6.093644756770961735e-01,8.521396417346350782e-01,1.047600607690189589e+00
4.149999999999999467e+00,1.386456122133016722e+00,1.951891054805056758e+00,2.394188645121373860e+00,6.048428992959513639e-01,8.515144661641571577e-01,1.044467241667043300e+00
4.199999999999999289e+00,1.343027964507288008e+00,1.903460828042710329e+00,2.329568036641477935e+00,6.001003771562936073e-01,8.505165871432328606e-01,1.040912545639112841e+00
4.249999999999999112e+00,1.300836700064055051e+00,1.856097371483053537e+00,2.266555442220604899e+00,5.951698249504704386e-01,8.492173903320844319e-01,1.037013643388557060e+00
4.299999999999999822e+00,1.259896401440763425e+00,1.809825484369235626e+00,2.205177368429969142e+00,5.900815148190861059e-01,8.476447445627508515e-01,1.032810634683841045e+00
4.349999999999999645e+00,1.220212681401924737e+00,1.764488132227661765e+00,2.145305888824793783e+00,5.848632205886442614e-01,8.457412608754780736e-01,1.028271981114220912e+00
4.399999999999999467e+00,1.182023948453203799e+00,1.720406280000663868e+00,2.087337630327835925e+00,5.796580772662023318e-01,8.436778270752315345e-01,1.023618953731482595e+00
4.449999999999999289e+00,1.145126426554072374e+00,1.677328561452576805e+00,2.030946980070398311e+00,5.743990625230659397e-01,8.413533483292020554e-01,1.018729473301001942e+00
4.499999999999999112e+00,1.109433194541448398e+00,1.635394895360955392e+00,1.976197985254289691e+00,5.690709899928875215e-01,8.388569917605834814e-01,1.013668014823936758e+00
4.549999999999999822e+00,1.074929520679281492e+00,1.594722521264578141e+00,1.923177941391862600e+00,5.636935255329628136e-01,8.362732095127319853e-01,1.008515379990065686e+00
4.599999999999999645e+00,1.041596847533281300e+00,1.555470652398610820e+00,1.872007730556855654e+00,5.582845167373563511e-01,8.337152551200974759e-01,1.003375666561947543e+00
4.649999999999999467e+00,1.009413464195715315e+00,1.517582365599144723e+00,1.822627712418828150e+00,5.528601183640856620e-01,8.311864226428787861e-01,9.982610779066852791e-01
4.699999999999999289e+00,9.784056539232541816e-01,1.480792248953998413e+00,1.774830501256734472e+00,5.474632015843295951e-01,8.285717301846305949e-01,9.930997276961245346e-01
4.749999999999999112e+00,9.486219573770930946e-01,1.444913083696235168e+00,1.728484144403561240e+00,5.421514896523681459e-01,8.257892141882093862e-01,9.878542726545561647e-01
4.799999999999999822e+00,9.198907663673860924e-01,1.409904901224617202e+00,1.683458004390122609e+00,5.368574665152042735e-01,8.228346244716183699e-01,9.824829558737764312e-01
4.849999999999999645e+00,8.921845732616150437e-01,1.375754512741728330e+00,1.639723693826261819e+00,5.315920165510878981e-01,8.197184053900740119e-01,9.769996602845355538e-01
4.899999999999999467e+00,8.654748699433925108e-01,1.342350476131723536e+00,1.597169856738661631e+00,5.263648567577656756e-01,8.163912559748928155e-01,9.713674100266521672e-01
4.949999999999999289e+00,8.397324512985945288e-01,1.309762223356576882e+00,1.555836646790372368e+00,5.211846278679816979e-01,8.129112265698387185e-01,9.656386894740528470e-01
4.999999999999999112e+00,8.149276766737303390e-01,1.277921679234316654e+00,1.515648685040797750e+00,5.160589798967666342e-01,8.092533571389051161e-01,9.597957422142899819e-01
5.049999999999999822e+00,7.910306940948648169e-01,1.246814600362924574e+00,1.476575838444596389e+00,5.109946522762265353e-01,8.054246161640959967e-01,9.538471297739398169e-01
5.099999999999999645e+00,7.680116315605319821e-01,1.216490919953741034e+00,1.438642424142347220e+00,5.059975487640767655e-01,8.014740900989008043e-01,9.478366085223313142e-01
5.149999999999999467e+00,7.458933202580614319e-01,1.186862055539632310e+00,1.401784000509834760e+00,5.011081189931200219e-01,7.973609576634966833e-01,9.417504147739311771e-01
5.199999999999999289e+00,7.246234713321750842e-01,1.158002964610214569e+00,1.366034421693515410e+00,4.963172247982741703e-01,7.931523618009473919e-01,9.356395976346243426e-01
5.249999999999999112e+00,7.041347531766891654e-01,1.137945692895917071e+00,1.338180163734153494e+00,4.916031419732070917e-01,7.944753124294887670e-01,9.342722682697282011e-01
5.299999999999999822e+00,6.843993522095930260e-01,1.120427562803365751e+00,1.312920559970937706e+00,4.869693105795996901e-01,7.972155964952540863e-01,9.341797561185183341e-01
5.349999999999999645e+00,6.653899553904371045e-01,1.101271732237225409e+00,1.286679144526430507e+00,4.824186265272364937e-01,7.984400608924314691e-01,9.328634745011378238e-01
5.399999999999999467e+00,6.470798177881588176e-01,1.080852432161426568e+00,1.259743732152705631e+00,4.779534903298671700e-01,7.983515762381628855e-01,9.304863127421389990e-01
5.449999999999999289e+00,6.294428166659702395e-01,1.060487553199930932e+00,1.233220219565170250e+00,4.735758522387534253e-01,7.978823230605935901e-01,9.278417371924110313e-01
5.499999999999999112e+00,6.124534938114460925e-01,1.041785810559539005e+00,1.208477123145093923e+00,4.692872539488854855e-01,7.982594714218657073e-01,9.259852646957197342e-01
5.549999999999998934e+00,5.960870876976832600e-01,1.022678107528167679e+00,1.183718855023142780e+00,4.650888671075127379e-01,7.979307256646338553e-01,9.235805851505535236e-01
5.599999999999999645e+00,5.803195568861135856e-01,1.003073266386392159e+00,1.158847171046968327e+00,4.609815288528643640e-01,7.967993537412011440e-01,9.205396135234593658e-01
5.649999999999999467e+00,5.651275958181741776e-01,9.831661851012524211e-01,1.134012763191746265e+00,4.569657745226967660e-01,7.949944412268081795e-01,9.169699453453493687e-01
5.699999999999999289e+00,5.504886441664524899e-01,9.668317404769668499e-01,1.112565216852450467e+00,4.530418677924400450e-01,7.956844563250555780e-01,9.156203842259967862e-01
5.749999999999999112e+00,5.363808906200718818e-01,9.524548172256431799e-01,1.093103215016182572e+00,4.492098283637568912e-01,7.976646305865878750e-01,9.154552598502199157e-01
5.799999999999998934e+00,5.227832719844001108e-01,9.371504610603437202e-01,1.073104531782589355e+00,4.454694574083969405e-01,7.985563612506670905e-01,9.144043414035376571e-01
5.849999999999999645e+00,5.096754683138480235e-01,9.209438189382009865e-01,1.052571423059460720e+00,4.418203609165291534e-01,7.983349322525502556e-01,9.124384337450368587e-01
5.899999999999999467e+00,4.970378947197640618e-01,9.039242590880836037e-01,1.031564702263215283e+00,4.382619711000090845e-01,7.970330466179366136e-01,9.095797011331855364e-01
5.949999999999999289e+00,4.848714667146641344e-01,8.862079495093352355e-01,1.010180612072697715e+00,4.348113005033726330e-01,7.947121195921827974e-01,9.058853239081280373e-01
5.999999999999999112e+00,4.731388729586492037e-01,8.908694161253526422e-01,1.008716367316456086e+00,4.314509157183480936e-01,8.123754934132115801e-01,9.198390266631222278e-01
6.049999999999998934e+00,4.638071860105443256e-01,8.974967228879976444e-01,1.010256142465718820e+00,4.300198325091215690e-01,8.321160216888233707e-01,9.366611606671898516e-01
