T_sec,Sa_5pct_ft_s2,Sa_20pct_ft_s2,Sd_5pct_in,Sd_20pct_in
3.899999999999999467e+00,3.583028170309570548e+00,2.742094526606218441e+00,1.656536257858319416e+01,1.267748616502110082e+01
3.949999999999999289e+00,3.471987292913412126e+00,2.669210636563329242e+00,1.646621674067370833e+01,1.265897515174446397e+01
3.999999999999999556e+00,3.364929982896518901e+00,2.597989361933332297e+00,1.636505705955199730e+01,1.263510514758177905e+01
4.049999999999999822e+00,3.261861980341739020e+00,2.528399926704322009e+00,1.626286798080275986e+01,1.260600063965790518e+01
4.099999999999999645e+00,3.162095553454023822e+00,2.460298291075070143e+00,1.615712973694117949e+01,1.257120729228227418e+01
4.149999999999999467e+00,3.065376811220287046e+00,2.394188645121373860e+00,1.604728517550742950e+01,1.253360690000451960e+01
4.199999999999999289e+00,2.971734531314148331e+00,2.329568036641477935e+00,1.593419401691385673e+01,1.249095054766935320e+01
4.249999999999999112e+00,2.880978720195345399e+00,2.266555442220604899e+00,1.581755742746428695e+01,1.244416372066268472e+01
4.299999999999999822e+00,2.793121518053509611e+00,2.205177368429969142e+00,1.569814192241861761e+01,1.239372761620609253e+01
4.349999999999999645e+00,2.708162026306295100e+00,2.145305888824793783e+00,1.557667172671824574e+01,1.233926377337065006e+01
4.399999999999999467e+00,2.626018661604697435e+00,2.087337630327835925e+00,1.545342221104287361e+01,1.228342744477779114e+01
4.449999999999999289e+00,2.546975112129469476e+00,2.030946980070398311e+00,1.533084993326891876e+01,1.222475367961202330e+01
4.499999999999999112e+00,2.498430594557839335e+00,1.976197985254289691e+00,1.537849466414641597e+01,1.216401617788724110e+01
4.549999999999999822e+00,2.463158077621843134e+00,1.923177941391862600e+00,1.550017448409719378e+01,1.210218455988078823e+01
4.599999999999999645e+00,2.432975733247347172e+00,1.872007730556855654e+00,1.564858055805100712e+01,1.204050799874337052e+01
4.649999999999999467e+00,2.417103136568122590e+00,1.822627712418828150e+00,1.588629405389610305e+01,1.197913293488022290e+01
4.699999999999999289e+00,2.422181269948395332e+00,1.774830501256734472e+00,1.626386896943538574e+01,1.191719673235349397e+01
4.749999999999999112e+00,2.450582170814246563e+00,1.728484144403561240e+00,1.680652779443529710e+01,1.185425127185467353e+01
4.799999999999999822e+00,2.500053246994487388e+00,1.683458004390122609e+00,1.750867343914875818e+01,1.178979547048531629e+01
4.849999999999999645e+00,2.563944631485235437e+00,1.639723693826261819e+00,1.833215957089060666e+01,1.172399592341442620e+01
4.899999999999999467e+00,2.632666987142296300e+00,1.597169856738661631e+00,1.921363768774045866e+01,1.165640892031982645e+01
4.949999999999999289e+00,2.696402540351064303e+00,1.555836646790372368e+00,2.008244724712358220e+01,1.158766427368863461e+01
4.999999999999999112e+00,2.755096542034408014e+00,1.515648685040797750e+00,2.093622320158784689e+01,1.151754890657148067e+01
5.049999999999999822e+00,2.811163154318405244e+00,1.476575838444596389e+00,2.179166016069260436e+01,1.144616555728727825e+01
5.099999999999999645e+00,2.858854872013790516e+00,1.438642424142347220e+00,2.260236951732472832e+01,1.137403930226797577e+01
5.149999999999999467e+00,2.900924450754484241e+00,1.401784000509834760e+00,2.338688531527471071e+01,1.130100497728717457e+01
5.199999999999999289e+00,2.935659158766672050e+00,1.366034421693515410e+00,2.412869465496181576e+01,1.122767517161549122e+01
5.249999999999999112e+00,2.936611150441887474e+00,1.338180163734153494e+00,2.460291462901614068e+01,1.121126721923673841e+01
5.299999999999999822e+00,2.916100495915513680e+00,1.312920559970937706e+00,2.489864626830198091e+01,1.121015707342222001e+01
5.349999999999999645e+00,2.871429847965792703e+00,1.286679144526430507e+00,2.498200459209776980e+01,1.119436169401365433e+01
5.399999999999999467e+00,2.795198494817581203e+00,1.259743732152705631e+00,2.477545749449213730e+01,1.116583575290566799e+01
5.449999999999999289e+00,2.697163714160963011e+00,1.233220219565170250e+00,2.435128156028935820e+01,1.113410084630893238e+01
5.499999999999999112e+00,2.582566463634301090e+00,1.208477123145093923e+00,2.374643370193686565e+01,1.111182317634863637e+01
5.549999999999998934e+00,2.449609024448029526e+00,1.183718855023142780e+00,2.293529068922929781e+01,1.108296702180664184e+01
5.599999999999999645e+00,2.296760216564262880e+00,1.158847171046968327e+00,2.189340042347757276e+01,1.104647536228151239e+01
5.649999999999999467e+00,2.190310916408354736e+00,1.134012763191746265e+00,2.125319234314849837e+01,1.100363934414419198e+01
5.699999999999999289e+00,2.199245299985308044e+00,1.112565216852450467e+00,2.171925344504262512e+01,1.098744461071196099e+01
5.749999999999999112e+00,2.212179597960098221e+00,1.093103215016182572e+00,2.223195124704781733e+01,1.098546311820263810e+01
5.799999999999998934e+00,2.217347045524847182e+00,1.073104531782589355e+00,2.267311380886435046e+01,1.097285209684245189e+01
