set_name,record_id,split,weight,scale_factor,notes
peer_mle_all,RSN4853_CHUETSU_65019EW,all,1.0,1.0,PEER result_id=37; RSN=4853
peer_mle_all,RSN4857_CHUETSU_65027NS,all,1.0,1.0,PEER result_id=38; RSN=4857
peer_mle_all,RSN4857_CHUETSU_65027EW,all,1.0,1.0,PEER result_id=38; RSN=4857
peer_mle_all,RSN4859_CHUETSU_65029NS,all,1.0,1.0,PEER result_id=39; RSN=4859
peer_mle_all,RSN4859_CHUETSU_65029EW,all,1.0,1.0,PEER result_id=39; RSN=4859
peer_mle_all,RSN4860_CHUETSU_65033NS,all,1.0,1.0,PEER result_id=40; RSN=4860
peer_mle_all,RSN4860_CHUETSU_65033EW,all,1.0,1.0,PEER result_id=40; RSN=4860
peer_mle_all,RSN4862_CHUETSU_65035NS,all,1.0,1.0,PEER result_id=41; RSN=4862
peer_mle_all,RSN4862_CHUETSU_65035EW,all,1.0,1.0,PEER result_id=41; RSN=4862
peer_mle_all,RSN4880_CHUETSU_65085NS,all,1.0,1.0,PEER result_id=42; RSN=4880
peer_mle_all,RSN4880_CHUETSU_65085EW,all,1.0,1.0,PEER result_id=42; RSN=4880
peer_mle_all,RSN4882_CHUETSU_65321NS,all,1.0,1.0,PEER result_id=43; RSN=4882
peer_mle_all,RSN4882_CHUETSU_65321EW,all,1.0,1.0,PEER result_id=43; RSN=4882
peer_mle_all,RSN4883_CHUETSU_690E1NS,all,1.0,1.0,PEER result_id=44; RSN=4883
peer_mle_all,RSN4883_CHUETSU_690E1EW,all,1.0,1.0,PEER result_id=44; RSN=4883
peer_mle_all,RSN4889_CHUETSU_6E1C1NS,all,1.0,1.0,PEER result_id=45; RSN=4889
peer_mle_all,RSN4889_CHUETSU_6E1C1EW,all,1.0,1.0,PEER result_id=45; RSN=4889
peer_mle_all,RSN5250_CHUETSU_NIG004NS,all,1.0,1.0,PEER result_id=46; RSN=5250
peer_mle_all,RSN5250_CHUETSU_NIG004EW,all,1.0,1.0,PEER result_id=46; RSN=5250
peer_mle_all,RSN5263_CHUETSU_NIG017NS,all,1.0,1.0,PEER result_id=47; RSN=5263
peer_mle_all,RSN5263_CHUETSU_NIG017EW,all,1.0,1.0,PEER result_id=47; RSN=5263
peer_mle_all,RSN5265_CHUETSU_NIG019NS,all,1.0,1.0,PEER result_id=48; RSN=5265
peer_mle_all,RSN5265_CHUETSU_NIG019EW,all,1.0,1.0,PEER result_id=48; RSN=5265
peer_mle_all,RSN5266_CHUETSU_NIG020NS,all,1.0,1.0,PEER result_id=49; RSN=5266
peer_mle_all,RSN5266_CHUETSU_NIG020EW,all,1.0,1.0,PEER result_id=49; RSN=5266
peer_mle_all,RSN5274_CHUETSU_NIG028NS,all,1.0,1.0,PEER result_id=50; RSN=5274
peer_mle_all,RSN5274_CHUETSU_NIG028EW,all,1.0,1.0,PEER result_id=50; RSN=5274
peer_mle_all,RSN5284_CHUETSU_NIGH11NS,all,1.0,1.0,PEER result_id=51; RSN=5284
peer_mle_all,RSN5284_CHUETSU_NIGH11EW,all,1.0,1.0,PEER result_id=51; RSN=5284
peer_mle_all,RSN5495_IWATE_AKTH19NS,all,1.0,1.0,PEER result_id=52; RSN=5495
