record_id,source,database,event_name,event_year,station_name,station_id,component,component_angle_deg,tectonic_region,magnitude,mechanism,rrup_km,rjb_km,rx_km,vs30_m_per_s,site_class,dt_sec,npts,duration_sec,raw_units,processed_units,pga_g,pgv_cm_s,arias_intensity,significant_duration_5_95_sec,scale_factor,raw_file,processed_file,scaled_file,download_url,citation,license_notes,usable,notes
RSN864_LANDERS_JOS090,PEER,NGA-West2,Landers,1992,Joshua Tree,RSN864,JOS090,90,,7.28,strike slip,11.03,11.03,,379.32,C,0.02,2200,43.980000000000004,g,in/sec^2,0.2839498,42.5707,2.3,27.1,1.0,raw/RSN864_LANDERS_JOS090.AT2,processed/RSN864_LANDERS_JOS090_in_per_sec2.txt,,,PEER NGA-West2 ground motion database,User-provided PEER download; follow PEER terms of use.,True,Imported from MLEarthquakeRecords.zip; PEER result_id=11; horizontal_component=2; vertical_file=RSN864_LANDERS_JOS-UP.AT2
RSN880_LANDERS_MCF000,PEER,NGA-West2,Landers,1992,Mission Creek Fault,RSN880,MCF000,0,,7.28,strike slip,26.96,26.96,,355.42,D,0.005,19963,99.81,g,in/sec^2,0.1262028,6.798506,0.4,40.8,1.0,raw/RSN880_LANDERS_MCF000.AT2,processed/RSN880_LANDERS_MCF000_in_per_sec2.txt,,,PEER NGA-West2 ground motion database,User-provided PEER download; follow PEER terms of use.,True,Imported from MLEarthquakeRecords.zip; PEER result_id=12; horizontal_component=1; vertical_file=RSN880_LANDERS_MCF-UP.AT2
RSN880_LANDERS_MCF090,PEER,NGA-West2,Landers,1992,Mission Creek Fault,RSN880,MCF090,90,,7.28,strike slip,26.96,26.96,,355.42,D,0.005,19963,99.81,g,in/sec^2,0.1315542,14.61663,0.4,40.8,1.0,raw/RSN880_LANDERS_MCF090.AT2,processed/RSN880_LANDERS_MCF090_in_per_sec2.txt,,,PEER NGA-West2 ground motion database,User-provided PEER download; follow PEER terms of use.,True,Imported from MLEarthquakeRecords.zip; PEER result_id=12; horizontal_component=2; vertical_file=RSN880_LANDERS_MCF-UP.AT2
RSN881_LANDERS_MVH045,PEER,NGA-West2,Landers,1992,Morongo Valley Fire Station,RSN881,MVH045,45,,7.28,strike slip,17.36,17.36,,396.41,C,0.005,11214,56.065,g,in/sec^2,0.2230478,29.929,1.2,31.9,1.0,raw/RSN881_LANDERS_MVH045.AT2,processed/RSN881_LANDERS_MVH045_in_per_sec2.txt,,,PEER NGA-West2 ground motion database,User-provided PEER download; follow PEER terms of use.,True,Imported from MLEarthquakeRecords.zip; PEER result_id=13; horizontal_component=1; vertical_file=RSN881_LANDERS_MVH-UP.AT2
RSN881_LANDERS_MVH135,PEER,NGA-West2,Landers,1992,Morongo Valley Fire Station,RSN881,MVH135,135,,7.28,strike slip,17.36,17.36,,396.41,C,0.005,11213,56.06,g,in/sec^2,0.1643045,22.20832,1.2,31.9,1.0,raw/RSN881_LANDERS_MVH135.AT2,processed/RSN881_LANDERS_MVH135_in_per_sec2.txt,,,PEER NGA-West2 ground motion database,User-provided PEER download; follow PEER terms of use.,True,Imported from MLEarthquakeRecords.zip; PEER result_id=13; horizontal_component=2; vertical_file=RSN881_LANDERS_MVH-UP.AT2
RSN882_LANDERS_FHS000,PEER,NGA-West2,Landers,1992,North Palm Springs,RSN882,FHS000,0,,7.28,strike slip,26.84,26.84,,344.67,D,0.005,19963,99.81,g,in/sec^2,0.1360124,11.15233,0.7,37.9,1.0,raw/RSN882_LANDERS_FHS000.AT2,processed/RSN882_LANDERS_FHS000_in_per_sec2.txt,,,PEER NGA-West2 ground motion database,User-provided PEER download; follow PEER terms of use.,True,Imported from MLEarthquakeRecords.zip; PEER result_id=14; horizontal_component=1; vertical_file=RSN882_LANDERS_FHS-UP.AT2
RSN882_LANDERS_FHS090,PEER,NGA-West2,Landers,1992,North Palm Springs,RSN882,FHS090,90,,7.28,strike slip,26.84,26.84,,344.67,D,0.005,19963,99.81,g,in/sec^2,0.1336656,14.52441,0.7,37.9,1.0,raw/RSN882_LANDERS_FHS090.AT2,processed/RSN882_LANDERS_FHS090_in_per_sec2.txt,,,PEER NGA-West2 ground motion database,User-provided PEER download; follow PEER terms of use.,True,Imported from MLEarthquakeRecords.zip; PEER result_id=14; horizontal_component=2; vertical_file=RSN882_LANDERS_FHS-UP.AT2
RSN884_LANDERS_PSA000,PEER,NGA-West2,Landers,1992,Palm Springs Airport,RSN884,PSA000,0,,7.28,strike slip,36.15,36.15,,312.47,D,0.02,3000,59.980000000000004,g,in/sec^2,0.07562214,10.76456,0.4,38.9,1.0,raw/RSN884_LANDERS_PSA000.AT2,processed/RSN884_LANDERS_PSA000_in_per_sec2.txt,,,PEER NGA-West2 ground motion database,User-provided PEER download; follow PEER terms of use.,True,Imported from MLEarthquakeRecords.zip; PEER result_id=15; horizontal_component=1; vertical_file=RSN884_LANDERS_PSA-UP.AT2
RSN884_LANDERS_PSA090,PEER,NGA-West2,Landers,1992,Palm Springs Airport,RSN884,PSA090,90,,7.28,strike slip,36.15,36.15,,312.47,D,0.02,3000,59.980000000000004,g,in/sec^2,0.08898473,13.90956,0.4,38.9,1.0,raw/RSN884_LANDERS_PSA090.AT2,processed/RSN884_LANDERS_PSA090_in_per_sec2.txt,,,PEER NGA-West2 ground motion database,User-provided PEER download; follow PEER terms of use.,True,Imported from MLEarthquakeRecords.zip; PEER result_id=15; horizontal_component=2; vertical_file=RSN884_LANDERS_PSA-UP.AT2
RSN1000_NORTHR_PIC090,PEER,NGA-West2,Northridge-01,1994,LA - Pico & Sentous,RSN1000,PIC090,90,,6.69,Reverse,31.33,27.82,,304.68,D,0.01,4000,39.99,g,in/sec^2,0.1029231,12.22096,0.3,20.1,1.0,raw/RSN1000_NORTHR_PIC090.AT2,processed/RSN1000_NORTHR_PIC090_in_per_sec2.txt,,,PEER NGA-West2 ground motion database,User-provided PEER download; follow PEER terms of use.,True,Imported from MLEarthquakeRecords.zip; PEER result_id=16; horizontal_component=1; vertical_file=RSN1000_NORTHR_PIC-UP.AT2
